Pcode,Locality,State,Price_Tier
6000,CITY DELIVERY CENTRE,WA,Tier 1
6000,PERTH,WA,Tier 1
6000,PERTH GPO,WA,Tier 1
6001,PERTH,WA,Tier 1
6003,HIGHGATE,WA,Tier 1
6003,NORTHBRIDGE,WA,Tier 1
6004,EAST PERTH,WA,Tier 1
6005,KINGS PARK,WA,Tier 1
6005,WEST PERTH,WA,Tier 1
6006,NORTH PERTH,WA,Tier 1
6007,LEEDERVILLE,WA,Tier 1
6007,WEST LEEDERVILLE,WA,Tier 1
6008,DAGLISH,WA,Tier 1
6008,SHENTON PARK,WA,Tier 1
6008,SUBIACO,WA,Tier 1
6008,SUBIACO EAST,WA,Tier 1
6009,BROADWAY NEDLANDS,WA,Tier 1
6009,CRAWLEY,WA,Tier 1
6009,DALKEITH,WA,Tier 1
6009,NEDLANDS,WA,Tier 1
6009,NEDLANDS DC,WA,Tier 1
6010,CLAREMONT,WA,Tier 1
6010,CLAREMONT NORTH,WA,Tier 1
6010,MOUNT CLAREMONT,WA,Tier 1
6010,SWANBOURNE,WA,Tier 1
6011,COTTESLOE,WA,Tier 1
6011,PEPPERMINT GROVE,WA,Tier 1
6012,MOSMAN PARK,WA,Tier 1
6014,FLOREAT,WA,Tier 1
6014,JOLIMONT,WA,Tier 1
6014,WEMBLEY,WA,Tier 1
6015,CITY BEACH,WA,Tier 1
6016,GLENDALOUGH,WA,Tier 1
6016,MOUNT HAWTHORN,WA,Tier 1
6017,HERDSMAN,WA,Tier 1
6017,OSBORNE PARK,WA,Tier 1
6017,OSBORNE PARK DC,WA,Tier 1
6018,CHURCHLANDS,WA,Tier 1
6018,DOUBLEVIEW,WA,Tier 1
6018,GWELUP,WA,Tier 1
6018,GWELUP DC,WA,Tier 1
6018,INNALOO,WA,Tier 1
6018,KARRINYUP,WA,Tier 1
6018,WOODLANDS,WA,Tier 1
6019,SCARBOROUGH,WA,Tier 1
6019,WEMBLEY DOWNS,WA,Tier 1
6020,CARINE,WA,Tier 1
6020,MARMION,WA,Tier 1
6020,NORTH BEACH,WA,Tier 1
6020,SORRENTO,WA,Tier 1
6020,WATERMANS BAY,WA,Tier 1
6021,BALCATTA,WA,Tier 1
6021,STIRLING,WA,Tier 1
6022,HAMERSLEY,WA,Tier 1
6023,DUNCRAIG,WA,Tier 1
6024,GREENWOOD,WA,Tier 1
6024,WARWICK,WA,Tier 1
6025,CRAIGIE,WA,Tier 1
6025,HILLARYS,WA,Tier 1
6025,PADBURY,WA,Tier 1
6026,KINGSLEY,WA,Tier 1
6026,WOODVALE,WA,Tier 1
6027,BELDON,WA,Tier 1
6027,CONNOLLY,WA,Tier 1
6027,EDGEWATER,WA,Tier 1
6027,HEATHRIDGE,WA,Tier 1
6027,JOONDALUP,WA,Tier 1
6027,JOONDALUP DC,WA,Tier 1
6027,MULLALOO,WA,Tier 1
6027,OCEAN REEF,WA,Tier 1
6028,BURNS BEACH,WA,Tier 1
6028,CURRAMBINE,WA,Tier 1
6028,ILUKA,WA,Tier 1
6028,KINROSS,WA,Tier 1
6029,TRIGG,WA,Tier 1
6030,CLARKSON,WA,Tier 1
6030,MERRIWA,WA,Tier 1
6030,MINDARIE,WA,Tier 1
6030,QUINNS ROCKS,WA,Tier 1
6030,RIDGEWOOD,WA,Tier 1
6030,TAMALA PARK,WA,Tier 1
6031,BANKSIA GROVE,WA,Tier 1
6031,CARRAMAR,WA,Tier 1
6031,NEERABUP,WA,Tier 1
6034,EGLINTON,WA,Tier 1
6035,YANCHEP,WA,Tier 1
6036,BUTLER,WA,Tier 1
6036,JINDALEE,WA,Tier 1
6037,TWO ROCKS,WA,Tier 1
6038,ALKIMOS,WA,Tier 1
6050,COOLBINIA,WA,Tier 1
6050,MENORA,WA,Tier 1
6050,MOUNT LAWLEY,WA,Tier 1
6051,MAYLANDS,WA,Tier 1
6052,BEDFORD,WA,Tier 1
6052,INGLEWOOD,WA,Tier 1
6053,BAYSWATER,WA,Tier 1
6054,ASHFIELD,WA,Tier 1
6054,BASSENDEAN,WA,Tier 1
6054,EDEN HILL,WA,Tier 1
6054,KIARA,WA,Tier 1
6054,LOCKRIDGE,WA,Tier 1
6055,BRABHAM,WA,Tier 1
6055,BUSHMEAD,WA,Tier 1
6055,CAVERSHAM,WA,Tier 1
6055,DAYTON,WA,Tier 1
6055,GUILDFORD,WA,Tier 1
6055,HAZELMERE,WA,Tier 1
6055,HENLEY BROOK,WA,Tier 1
6055,SOUTH GUILDFORD,WA,Tier 1
6055,WEST SWAN,WA,Tier 1
6056,BASKERVILLE,WA,Tier 1
6056,BELLEVUE,WA,Tier 1
6056,BOYA,WA,Tier 1
6056,GREENMOUNT,WA,Tier 1
6056,HELENA VALLEY,WA,Tier 1
6056,HERNE HILL,WA,Tier 1
6056,JANE BROOK,WA,Tier 1
6056,KOONGAMIA,WA,Tier 1
6056,MIDDLE SWAN,WA,Tier 1
6056,MIDLAND,WA,Tier 1
6056,MIDVALE,WA,Tier 1
